,index,U,M,t,UM,count
0,100,0,1,120,1j,-0.193359375
1,101,0,1,164,1j,-0.23828125
2,102,0,1,208,1j,-0.24609375
3,103,0,1,252,1j,-0.23828125
4,104,0,1,296,1j,-0.232421875
5,105,0,1,341,1j,-0.22265625
6,106,0,1,385,1j,-0.25
7,107,0,1,429,1j,-0.21875
8,108,0,1,473,1j,-0.208984375
9,109,0,1,518,1j,-0.203125
10,110,0,1,562,1j,-0.2265625
11,111,0,1,606,1j,-0.203125
12,112,0,1,650,1j,-0.1796875
13,113,0,1,695,1j,-0.15234375
14,114,0,1,739,1j,-0.22265625
15,115,0,1,783,1j,-0.16796875
16,116,0,1,827,1j,-0.189453125
17,117,0,1,872,1j,-0.111328125
18,118,0,1,916,1j,-0.07421875
19,119,0,1,960,1j,-0.099609375
20,120,0,1,1004,1j,-0.134765625
21,121,0,1,1049,1j,-0.15234375
22,122,0,1,1093,1j,-0.111328125
23,123,0,1,1137,1j,-0.02734375
24,124,0,1,1181,1j,-0.064453125
25,125,0,1,1226,1j,-0.01171875
26,126,0,1,1270,1j,-0.01953125
27,127,0,1,1314,1j,0.033203125
28,128,0,1,1358,1j,-0.015625
29,129,0,1,1403,1j,-0.0234375
30,130,0,1,1447,1j,0.0234375
31,131,0,1,1491,1j,0.046875
32,132,0,1,1535,1j,0.025390625
33,133,0,1,1580,1j,0.08203125
34,134,0,1,1624,1j,0.072265625
35,135,0,1,1668,1j,0.134765625
36,136,0,1,1712,1j,0.134765625
37,137,0,1,1756,1j,0.15625
38,138,0,1,1801,1j,0.078125
39,139,0,1,1845,1j,0.11328125
40,140,0,1,1889,1j,0.111328125
41,141,0,1,1933,1j,0.16796875
42,142,0,1,1978,1j,0.115234375
43,143,0,1,2022,1j,0.1640625
44,144,0,1,2066,1j,0.12890625
45,145,0,1,2110,1j,0.173828125
46,146,0,1,2155,1j,0.1640625
47,147,0,1,2199,1j,0.185546875
48,148,0,1,2243,1j,0.1796875
49,149,0,1,2287,1j,0.1796875
50,150,0,1,2332,1j,0.15625
51,151,0,1,2376,1j,0.18359375
52,152,0,1,2420,1j,0.13671875
53,153,0,1,2464,1j,0.115234375
54,154,0,1,2509,1j,0.10546875
55,155,0,1,2553,1j,0.19921875
56,156,0,1,2597,1j,0.1328125
57,157,0,1,2641,1j,0.0703125
58,158,0,1,2686,1j,0.158203125
59,159,0,1,2730,1j,0.125
60,160,0,1,2774,1j,0.087890625
61,161,0,1,2818,1j,0.091796875
62,162,0,1,2863,1j,0.0859375
63,163,0,1,2907,1j,0.0859375
64,164,0,1,2951,1j,0.095703125
65,165,0,1,2995,1j,0.1484375
66,166,0,1,3040,1j,0.1015625
67,167,0,1,3084,1j,0.052734375
68,168,0,1,3128,1j,-0.015625
69,169,0,1,3172,1j,0.052734375
70,170,0,1,3216,1j,0.0390625
71,171,0,1,3261,1j,0.037109375
72,172,0,1,3305,1j,0.017578125
73,173,0,1,3349,1j,0.021484375
74,174,0,1,3393,1j,-0.0234375
75,175,0,1,3438,1j,-0.017578125
76,176,0,1,3482,1j,-0.087890625
77,177,0,1,3526,1j,-0.115234375
78,178,0,1,3570,1j,-0.02734375
79,179,0,1,3615,1j,-0.091796875
80,180,0,1,3659,1j,-0.08984375
81,181,0,1,3703,1j,-0.115234375
82,182,0,1,3747,1j,-0.111328125
83,183,0,1,3792,1j,-0.052734375
84,184,0,1,3836,1j,-0.125
85,185,0,1,3880,1j,-0.13671875
86,186,0,1,3924,1j,-0.162109375
87,187,0,1,3969,1j,-0.177734375
88,188,0,1,4013,1j,-0.197265625
89,189,0,1,4057,1j,-0.212890625
90,190,0,1,4101,1j,-0.19921875
91,191,0,1,4146,1j,-0.2265625
92,192,0,1,4190,1j,-0.20703125
93,193,0,1,4234,1j,-0.2578125
94,194,0,1,4278,1j,-0.21875
95,195,0,1,4323,1j,-0.1796875
96,196,0,1,4367,1j,-0.244140625
97,197,0,1,4411,1j,-0.26171875
98,198,0,1,4455,1j,-0.263671875
99,199,0,1,4500,1j,-0.294921875
