,index,U,M,t,UM,count
0,100,0,1,120,1j,0.357421875
1,101,0,1,209,1j,0.32421875
2,102,0,1,299,1j,0.34375
3,103,0,1,389,1j,0.365234375
4,104,0,1,478,1j,0.287109375
5,105,0,1,568,1j,0.291015625
6,106,0,1,658,1j,0.328125
7,107,0,1,747,1j,0.23828125
8,108,0,1,837,1j,0.2890625
9,109,0,1,927,1j,0.29296875
10,110,0,1,1016,1j,0.294921875
11,111,0,1,1106,1j,0.390625
12,112,0,1,1196,1j,0.298828125
13,113,0,1,1286,1j,0.283203125
14,114,0,1,1375,1j,0.3125
15,115,0,1,1465,1j,0.33203125
16,116,0,1,1555,1j,0.29296875
17,117,0,1,1644,1j,0.263671875
18,118,0,1,1734,1j,0.25390625
19,119,0,1,1824,1j,0.306640625
20,120,0,1,1913,1j,0.244140625
21,121,0,1,2003,1j,0.212890625
22,122,0,1,2093,1j,0.189453125
23,123,0,1,2183,1j,0.224609375
24,124,0,1,2272,1j,0.18359375
25,125,0,1,2362,1j,0.271484375
26,126,0,1,2452,1j,0.205078125
27,127,0,1,2541,1j,0.220703125
28,128,0,1,2631,1j,0.24609375
29,129,0,1,2721,1j,0.158203125
30,130,0,1,2810,1j,0.2265625
31,131,0,1,2900,1j,0.259765625
32,132,0,1,2990,1j,0.1640625
33,133,0,1,3080,1j,0.1953125
34,134,0,1,3169,1j,0.224609375
35,135,0,1,3259,1j,0.142578125
36,136,0,1,3349,1j,0.162109375
37,137,0,1,3438,1j,0.14453125
38,138,0,1,3528,1j,0.158203125
39,139,0,1,3618,1j,0.17578125
40,140,0,1,3707,1j,0.181640625
41,141,0,1,3797,1j,0.150390625
42,142,0,1,3887,1j,0.162109375
43,143,0,1,3976,1j,0.12890625
44,144,0,1,4066,1j,0.17578125
45,145,0,1,4156,1j,0.220703125
46,146,0,1,4246,1j,0.1328125
47,147,0,1,4335,1j,0.14453125
48,148,0,1,4425,1j,0.150390625
49,149,0,1,4515,1j,0.244140625
50,150,0,1,4604,1j,0.12890625
51,151,0,1,4694,1j,0.1328125
52,152,0,1,4784,1j,0.109375
53,153,0,1,4873,1j,0.15625
54,154,0,1,4963,1j,0.17578125
55,155,0,1,5053,1j,0.12109375
56,156,0,1,5143,1j,0.099609375
57,157,0,1,5232,1j,0.12890625
58,158,0,1,5322,1j,0.197265625
59,159,0,1,5412,1j,0.115234375
60,160,0,1,5501,1j,0.11328125
61,161,0,1,5591,1j,0.134765625
62,162,0,1,5681,1j,0.02734375
63,163,0,1,5770,1j,0.052734375
64,164,0,1,5860,1j,0.068359375
65,165,0,1,5950,1j,0.056640625
66,166,0,1,6040,1j,0.068359375
67,167,0,1,6129,1j,0.072265625
68,168,0,1,6219,1j,0.109375
69,169,0,1,6309,1j,0.099609375
70,170,0,1,6398,1j,0.1328125
71,171,0,1,6488,1j,0.08203125
72,172,0,1,6578,1j,0.052734375
73,173,0,1,6667,1j,0.11328125
74,174,0,1,6757,1j,0.060546875
75,175,0,1,6847,1j,0.033203125
76,176,0,1,6936,1j,0.0234375
77,177,0,1,7026,1j,0.046875
78,178,0,1,7116,1j,0.025390625
79,179,0,1,7206,1j,0.013671875
80,180,0,1,7295,1j,0.00390625
81,181,0,1,7385,1j,0.048828125
82,182,0,1,7475,1j,0.04296875
83,183,0,1,7564,1j,0.1015625
84,184,0,1,7654,1j,0.041015625
85,185,0,1,7744,1j,0.015625
86,186,0,1,7833,1j,0.0859375
87,187,0,1,7923,1j,0.126953125
88,188,0,1,8013,1j,0.0625
89,189,0,1,8103,1j,0.09765625
90,190,0,1,8192,1j,0.05859375
91,191,0,1,8282,1j,0.060546875
92,192,0,1,8372,1j,0.107421875
93,193,0,1,8461,1j,0.05078125
94,194,0,1,8551,1j,0.015625
95,195,0,1,8641,1j,0.091796875
96,196,0,1,8730,1j,0.123046875
97,197,0,1,8820,1j,0.072265625
98,198,0,1,8910,1j,0.091796875
99,199,0,1,9000,1j,0.095703125
