,index,U,M,t,UM,count
0,400,1,1,120,(1+1j),0.90234375
1,401,1,1,164,(1+1j),0.953125
2,402,1,1,208,(1+1j),0.97265625
3,403,1,1,252,(1+1j),0.98046875
4,404,1,1,296,(1+1j),0.98046875
5,405,1,1,341,(1+1j),0.962890625
6,406,1,1,385,(1+1j),0.935546875
7,407,1,1,429,(1+1j),0.912109375
8,408,1,1,473,(1+1j),0.87890625
9,409,1,1,518,(1+1j),0.8203125
10,410,1,1,562,(1+1j),0.728515625
11,411,1,1,606,(1+1j),0.68359375
12,412,1,1,650,(1+1j),0.611328125
13,413,1,1,695,(1+1j),0.466796875
14,414,1,1,739,(1+1j),0.37890625
15,415,1,1,783,(1+1j),0.27734375
16,416,1,1,827,(1+1j),0.20703125
17,417,1,1,872,(1+1j),0.189453125
18,418,1,1,916,(1+1j),-0.01953125
19,419,1,1,960,(1+1j),-0.033203125
20,420,1,1,1004,(1+1j),-0.24609375
21,421,1,1,1049,(1+1j),-0.34375
22,422,1,1,1093,(1+1j),-0.431640625
23,423,1,1,1137,(1+1j),-0.529296875
24,424,1,1,1181,(1+1j),-0.58203125
25,425,1,1,1226,(1+1j),-0.708984375
26,426,1,1,1270,(1+1j),-0.78515625
27,427,1,1,1314,(1+1j),-0.849609375
28,428,1,1,1358,(1+1j),-0.90625
29,429,1,1,1403,(1+1j),-0.943359375
30,430,1,1,1447,(1+1j),-0.9609375
31,431,1,1,1491,(1+1j),-0.98046875
32,432,1,1,1535,(1+1j),-0.984375
33,433,1,1,1580,(1+1j),-0.98046875
34,434,1,1,1624,(1+1j),-0.943359375
35,435,1,1,1668,(1+1j),-0.9296875
36,436,1,1,1712,(1+1j),-0.87890625
37,437,1,1,1756,(1+1j),-0.83203125
38,438,1,1,1801,(1+1j),-0.814453125
39,439,1,1,1845,(1+1j),-0.720703125
40,440,1,1,1889,(1+1j),-0.619140625
41,441,1,1,1933,(1+1j),-0.5859375
42,442,1,1,1978,(1+1j),-0.46875
43,443,1,1,2022,(1+1j),-0.29296875
44,444,1,1,2066,(1+1j),-0.271484375
45,445,1,1,2110,(1+1j),-0.06640625
46,446,1,1,2155,(1+1j),-0.060546875
47,447,1,1,2199,(1+1j),-0.02734375
48,448,1,1,2243,(1+1j),0.1796875
49,449,1,1,2287,(1+1j),0.28515625
50,450,1,1,2332,(1+1j),0.373046875
51,451,1,1,2376,(1+1j),0.46875
52,452,1,1,2420,(1+1j),0.521484375
53,453,1,1,2464,(1+1j),0.609375
54,454,1,1,2509,(1+1j),0.705078125
55,455,1,1,2553,(1+1j),0.740234375
56,456,1,1,2597,(1+1j),0.85546875
57,457,1,1,2641,(1+1j),0.875
58,458,1,1,2686,(1+1j),0.908203125
59,459,1,1,2730,(1+1j),0.896484375
60,460,1,1,2774,(1+1j),0.919921875
61,461,1,1,2818,(1+1j),0.888671875
62,462,1,1,2863,(1+1j),0.876953125
63,463,1,1,2907,(1+1j),0.859375
64,464,1,1,2951,(1+1j),0.791015625
65,465,1,1,2995,(1+1j),0.75
66,466,1,1,3040,(1+1j),0.697265625
67,467,1,1,3084,(1+1j),0.62890625
68,468,1,1,3128,(1+1j),0.548828125
69,469,1,1,3172,(1+1j),0.400390625
70,470,1,1,3216,(1+1j),0.37890625
71,471,1,1,3261,(1+1j),0.25
72,472,1,1,3305,(1+1j),0.21484375
73,473,1,1,3349,(1+1j),0.048828125
74,474,1,1,3393,(1+1j),0.03515625
75,475,1,1,3438,(1+1j),-0.087890625
76,476,1,1,3482,(1+1j),-0.294921875
77,477,1,1,3526,(1+1j),-0.30859375
78,478,1,1,3570,(1+1j),-0.470703125
79,479,1,1,3615,(1+1j),-0.5390625
80,480,1,1,3659,(1+1j),-0.61328125
81,481,1,1,3703,(1+1j),-0.677734375
82,482,1,1,3747,(1+1j),-0.763671875
83,483,1,1,3792,(1+1j),-0.80078125
84,484,1,1,3836,(1+1j),-0.876953125
85,485,1,1,3880,(1+1j),-0.900390625
86,486,1,1,3924,(1+1j),-0.9296875
87,487,1,1,3969,(1+1j),-0.9375
88,488,1,1,4013,(1+1j),-0.9375
89,489,1,1,4057,(1+1j),-0.94921875
90,490,1,1,4101,(1+1j),-0.935546875
91,491,1,1,4146,(1+1j),-0.896484375
92,492,1,1,4190,(1+1j),-0.861328125
93,493,1,1,4234,(1+1j),-0.76953125
94,494,1,1,4278,(1+1j),-0.69140625
95,495,1,1,4323,(1+1j),-0.6484375
96,496,1,1,4367,(1+1j),-0.572265625
97,497,1,1,4411,(1+1j),-0.46875
98,498,1,1,4455,(1+1j),-0.400390625
99,499,1,1,4500,(1+1j),-0.337890625
