,index,U,M,t,UM,count
0,0,0,0,0,0j,1.0
1,1,0,0,45,0j,-0.2265625
2,2,0,0,90,0j,-0.19921875
3,3,0,0,136,0j,-0.216796875
4,4,0,0,181,0j,-0.107421875
5,5,0,0,227,0j,-0.18359375
6,6,0,0,272,0j,-0.154296875
7,7,0,0,318,0j,-0.1328125
8,8,0,0,363,0j,-0.029296875
9,9,0,0,409,0j,0.00390625
10,10,0,0,454,0j,0.037109375
11,11,0,0,500,0j,0.0859375
12,12,0,0,545,0j,0.072265625
13,13,0,0,590,0j,0.166015625
14,14,0,0,636,0j,0.19140625
15,15,0,0,681,0j,0.224609375
16,16,0,0,727,0j,0.2890625
17,17,0,0,772,0j,0.30078125
18,18,0,0,818,0j,0.33203125
19,19,0,0,863,0j,0.39453125
20,20,0,0,909,0j,0.404296875
21,21,0,0,954,0j,0.470703125
22,22,0,0,1000,0j,0.494140625
23,23,0,0,1045,0j,0.5390625
24,24,0,0,1090,0j,0.572265625
25,25,0,0,1136,0j,0.576171875
26,26,0,0,1181,0j,0.595703125
27,27,0,0,1227,0j,0.634765625
28,28,0,0,1272,0j,0.65234375
29,29,0,0,1318,0j,0.72265625
30,30,0,0,1363,0j,0.697265625
31,31,0,0,1409,0j,0.705078125
32,32,0,0,1454,0j,0.736328125
33,33,0,0,1500,0j,0.755859375
34,34,0,0,1545,0j,0.7890625
35,35,0,0,1590,0j,0.81640625
36,36,0,0,1636,0j,0.837890625
37,37,0,0,1681,0j,0.84375
38,38,0,0,1727,0j,0.86328125
39,39,0,0,1772,0j,0.8828125
40,40,0,0,1818,0j,0.880859375
41,41,0,0,1863,0j,0.912109375
42,42,0,0,1909,0j,0.904296875
43,43,0,0,1954,0j,0.931640625
44,44,0,0,2000,0j,0.921875
45,45,0,0,2045,0j,0.93359375
46,46,0,0,2090,0j,0.951171875
47,47,0,0,2136,0j,0.951171875
48,48,0,0,2181,0j,0.97265625
49,49,0,0,2227,0j,0.98046875
50,50,0,0,2272,0j,0.978515625
51,51,0,0,2318,0j,0.990234375
52,52,0,0,2363,0j,0.978515625
53,53,0,0,2409,0j,0.982421875
54,54,0,0,2454,0j,0.994140625
55,55,0,0,2500,0j,0.986328125
56,56,0,0,2545,0j,0.984375
57,57,0,0,2590,0j,0.98046875
58,58,0,0,2636,0j,0.978515625
59,59,0,0,2681,0j,0.958984375
60,60,0,0,2727,0j,0.962890625
61,61,0,0,2772,0j,0.92578125
62,62,0,0,2818,0j,0.919921875
63,63,0,0,2863,0j,0.9296875
64,64,0,0,2909,0j,0.93359375
65,65,0,0,2954,0j,0.8828125
66,66,0,0,3000,0j,0.8984375
67,67,0,0,3045,0j,0.88671875
68,68,0,0,3090,0j,0.890625
69,69,0,0,3136,0j,0.841796875
70,70,0,0,3181,0j,0.82421875
71,71,0,0,3227,0j,0.810546875
72,72,0,0,3272,0j,0.76953125
73,73,0,0,3318,0j,0.76171875
74,74,0,0,3363,0j,0.7265625
75,75,0,0,3409,0j,0.7109375
76,76,0,0,3454,0j,0.74609375
77,77,0,0,3500,0j,0.6171875
78,78,0,0,3545,0j,0.689453125
79,79,0,0,3590,0j,0.62890625
80,80,0,0,3636,0j,0.619140625
81,81,0,0,3681,0j,0.5703125
82,82,0,0,3727,0j,0.466796875
83,83,0,0,3772,0j,0.49609375
84,84,0,0,3818,0j,0.48828125
85,85,0,0,3863,0j,0.462890625
86,86,0,0,3909,0j,0.392578125
87,87,0,0,3954,0j,0.396484375
88,88,0,0,4000,0j,0.361328125
89,89,0,0,4045,0j,0.326171875
90,90,0,0,4090,0j,0.296875
91,91,0,0,4136,0j,0.283203125
92,92,0,0,4181,0j,0.216796875
93,93,0,0,4227,0j,0.212890625
94,94,0,0,4272,0j,0.130859375
95,95,0,0,4318,0j,0.140625
96,96,0,0,4363,0j,0.15625
97,97,0,0,4409,0j,0.05859375
98,98,0,0,4454,0j,0.0
99,99,0,0,4500,0j,-0.005859375
