,level_0,index,U,M,t,UM,count
0,0,200,0,2,0,2j,1.0
1,1,201,0,2,90,2j,0.98828125
2,2,202,0,2,181,2j,0.923828125
3,3,203,0,2,272,2j,0.794921875
4,4,204,0,2,363,2j,0.69140625
5,5,205,0,2,454,2j,0.462890625
6,6,206,0,2,545,2j,0.28515625
7,7,207,0,2,636,2j,0.0859375
8,8,208,0,2,727,2j,-0.0703125
9,9,209,0,2,818,2j,-0.35546875
10,10,210,0,2,909,2j,-0.529296875
11,11,211,0,2,1000,2j,-0.712890625
12,12,212,0,2,1090,2j,-0.83203125
13,13,213,0,2,1181,2j,-0.91796875
14,14,214,0,2,1272,2j,-0.9765625
15,15,215,0,2,1363,2j,-0.9921875
16,16,216,0,2,1454,2j,-0.955078125
17,17,217,0,2,1545,2j,-0.880859375
18,18,218,0,2,1636,2j,-0.81640625
19,19,219,0,2,1727,2j,-0.611328125
20,20,220,0,2,1818,2j,-0.48046875
21,21,221,0,2,1909,2j,-0.287109375
22,22,222,0,2,2000,2j,-0.009765625
23,23,223,0,2,2090,2j,0.171875
24,24,224,0,2,2181,2j,0.37109375
25,25,225,0,2,2272,2j,0.609375
26,26,226,0,2,2363,2j,0.720703125
27,27,227,0,2,2454,2j,0.857421875
28,28,228,0,2,2545,2j,0.94140625
29,29,229,0,2,2636,2j,0.98828125
30,30,230,0,2,2727,2j,0.994140625
31,31,231,0,2,2818,2j,0.94140625
32,32,232,0,2,2909,2j,0.85546875
33,33,233,0,2,3000,2j,0.759765625
34,34,234,0,2,3090,2j,0.630859375
35,35,235,0,2,3181,2j,0.447265625
36,36,236,0,2,3272,2j,0.201171875
37,37,237,0,2,3363,2j,0.01171875
38,38,238,0,2,3454,2j,-0.208984375
39,39,239,0,2,3545,2j,-0.416015625
40,40,240,0,2,3636,2j,-0.58984375
41,41,241,0,2,3727,2j,-0.75390625
42,42,242,0,2,3818,2j,-0.888671875
43,43,243,0,2,3909,2j,-0.95703125
44,44,244,0,2,4000,2j,-1.0
45,45,245,0,2,4090,2j,-0.9921875
46,46,246,0,2,4181,2j,-0.947265625
47,47,247,0,2,4272,2j,-0.88671875
48,48,248,0,2,4363,2j,-0.708984375
49,49,249,0,2,4454,2j,-0.568359375
50,50,250,0,2,4545,2j,-0.33203125
51,51,251,0,2,4636,2j,-0.16015625
52,52,252,0,2,4727,2j,-0.025390625
53,53,253,0,2,4818,2j,0.322265625
54,54,254,0,2,4909,2j,0.478515625
55,55,255,0,2,5000,2j,0.630859375
56,56,256,0,2,5090,2j,0.806640625
57,57,257,0,2,5181,2j,0.8984375
58,58,258,0,2,5272,2j,0.962890625
59,59,259,0,2,5363,2j,0.998046875
60,60,260,0,2,5454,2j,0.9765625
61,61,261,0,2,5545,2j,0.921875
62,62,262,0,2,5636,2j,0.8046875
63,63,263,0,2,5727,2j,0.681640625
64,64,264,0,2,5818,2j,0.525390625
65,65,265,0,2,5909,2j,0.294921875
66,66,266,0,2,6000,2j,0.076171875
67,67,267,0,2,6090,2j,-0.0859375
68,68,268,0,2,6181,2j,-0.29296875
69,69,269,0,2,6272,2j,-0.478515625
70,70,270,0,2,6363,2j,-0.6640625
71,71,271,0,2,6454,2j,-0.81640625
72,72,272,0,2,6545,2j,-0.91796875
73,73,273,0,2,6636,2j,-0.98046875
74,74,274,0,2,6727,2j,-1.0
75,75,275,0,2,6818,2j,-0.9765625
76,76,276,0,2,6909,2j,-0.89453125
77,77,277,0,2,7000,2j,-0.8046875
78,78,278,0,2,7090,2j,-0.681640625
79,79,279,0,2,7181,2j,-0.4453125
80,80,280,0,2,7272,2j,-0.244140625
81,81,281,0,2,7363,2j,-0.06640625
82,82,282,0,2,7454,2j,0.076171875
83,83,283,0,2,7545,2j,0.345703125
84,84,284,0,2,7636,2j,0.544921875
85,85,285,0,2,7727,2j,0.732421875
86,86,286,0,2,7818,2j,0.83203125
87,87,287,0,2,7909,2j,0.92578125
88,88,288,0,2,8000,2j,0.984375
89,89,289,0,2,8090,2j,0.998046875
90,90,290,0,2,8181,2j,0.978515625
91,91,291,0,2,8272,2j,0.888671875
92,92,292,0,2,8363,2j,0.75
93,93,293,0,2,8454,2j,0.623046875
94,94,294,0,2,8545,2j,0.44140625
95,95,295,0,2,8636,2j,0.185546875
96,96,296,0,2,8727,2j,0.0625
97,97,297,0,2,8818,2j,-0.16015625
98,98,298,0,2,8909,2j,-0.390625
99,99,299,0,2,9000,2j,-0.583984375
