,index,U,M,t,UM,count
0,500,1,2,0,(1+2j),1.0
1,501,1,2,90,(1+2j),0.9921875
2,502,1,2,181,(1+2j),0.990234375
3,503,1,2,272,(1+2j),0.982421875
4,504,1,2,363,(1+2j),0.927734375
5,505,1,2,454,(1+2j),0.921875
6,506,1,2,545,(1+2j),0.875
7,507,1,2,636,(1+2j),0.845703125
8,508,1,2,727,(1+2j),0.78125
9,509,1,2,818,(1+2j),0.712890625
10,510,1,2,909,(1+2j),0.673828125
11,511,1,2,1000,(1+2j),0.62109375
12,512,1,2,1090,(1+2j),0.56640625
13,513,1,2,1181,(1+2j),0.548828125
14,514,1,2,1272,(1+2j),0.490234375
15,515,1,2,1363,(1+2j),0.3828125
16,516,1,2,1454,(1+2j),0.32421875
17,517,1,2,1545,(1+2j),0.25390625
18,518,1,2,1636,(1+2j),0.177734375
19,519,1,2,1727,(1+2j),0.115234375
20,520,1,2,1818,(1+2j),0.01953125
21,521,1,2,1909,(1+2j),0.005859375
22,522,1,2,2000,(1+2j),-0.07421875
23,523,1,2,2090,(1+2j),-0.1171875
24,524,1,2,2181,(1+2j),-0.189453125
25,525,1,2,2272,(1+2j),-0.2890625
26,526,1,2,2363,(1+2j),-0.275390625
27,527,1,2,2454,(1+2j),-0.4296875
28,528,1,2,2545,(1+2j),-0.439453125
29,529,1,2,2636,(1+2j),-0.421875
30,530,1,2,2727,(1+2j),-0.5
31,531,1,2,2818,(1+2j),-0.55859375
32,532,1,2,2909,(1+2j),-0.623046875
33,533,1,2,3000,(1+2j),-0.630859375
34,534,1,2,3090,(1+2j),-0.65625
35,535,1,2,3181,(1+2j),-0.716796875
36,536,1,2,3272,(1+2j),-0.740234375
37,537,1,2,3363,(1+2j),-0.783203125
38,538,1,2,3454,(1+2j),-0.794921875
39,539,1,2,3545,(1+2j),-0.80859375
40,540,1,2,3636,(1+2j),-0.857421875
41,541,1,2,3727,(1+2j),-0.859375
42,542,1,2,3818,(1+2j),-0.87109375
43,543,1,2,3909,(1+2j),-0.892578125
44,544,1,2,4000,(1+2j),-0.919921875
45,545,1,2,4090,(1+2j),-0.90234375
46,546,1,2,4181,(1+2j),-0.888671875
47,547,1,2,4272,(1+2j),-0.912109375
48,548,1,2,4363,(1+2j),-0.888671875
49,549,1,2,4454,(1+2j),-0.84765625
50,550,1,2,4545,(1+2j),-0.818359375
51,551,1,2,4636,(1+2j),-0.830078125
52,552,1,2,4727,(1+2j),-0.791015625
53,553,1,2,4818,(1+2j),-0.775390625
54,554,1,2,4909,(1+2j),-0.74609375
55,555,1,2,5000,(1+2j),-0.732421875
56,556,1,2,5090,(1+2j),-0.609375
57,557,1,2,5181,(1+2j),-0.5859375
58,558,1,2,5272,(1+2j),-0.4765625
59,559,1,2,5363,(1+2j),-0.41796875
60,560,1,2,5454,(1+2j),-0.40625
61,561,1,2,5545,(1+2j),-0.333984375
62,562,1,2,5636,(1+2j),-0.318359375
63,563,1,2,5727,(1+2j),-0.21484375
64,564,1,2,5818,(1+2j),-0.12890625
65,565,1,2,5909,(1+2j),-0.04296875
66,566,1,2,6000,(1+2j),0.08203125
67,567,1,2,6090,(1+2j),0.146484375
68,568,1,2,6181,(1+2j),0.21875
69,569,1,2,6272,(1+2j),0.302734375
70,570,1,2,6363,(1+2j),0.37890625
71,571,1,2,6454,(1+2j),0.455078125
72,572,1,2,6545,(1+2j),0.51171875
73,573,1,2,6636,(1+2j),0.55859375
74,574,1,2,6727,(1+2j),0.65234375
75,575,1,2,6818,(1+2j),0.71484375
76,576,1,2,6909,(1+2j),0.763671875
77,577,1,2,7000,(1+2j),0.74609375
78,578,1,2,7090,(1+2j),0.87109375
79,579,1,2,7181,(1+2j),0.826171875
80,580,1,2,7272,(1+2j),0.865234375
81,581,1,2,7363,(1+2j),0.904296875
82,582,1,2,7454,(1+2j),0.919921875
83,583,1,2,7545,(1+2j),0.921875
84,584,1,2,7636,(1+2j),0.94921875
85,585,1,2,7727,(1+2j),0.92578125
86,586,1,2,7818,(1+2j),0.923828125
87,587,1,2,7909,(1+2j),0.916015625
88,588,1,2,8000,(1+2j),0.89453125
89,589,1,2,8090,(1+2j),0.873046875
90,590,1,2,8181,(1+2j),0.859375
91,591,1,2,8272,(1+2j),0.849609375
92,592,1,2,8363,(1+2j),0.8203125
93,593,1,2,8454,(1+2j),0.744140625
94,594,1,2,8545,(1+2j),0.740234375
95,595,1,2,8636,(1+2j),0.748046875
96,596,1,2,8727,(1+2j),0.673828125
97,597,1,2,8818,(1+2j),0.62109375
98,598,1,2,8909,(1+2j),0.5859375
99,599,1,2,9000,(1+2j),0.51953125
