,index,U,M,t,UM,count
0,300,1,0,0,(1+0j),1.0
1,301,1,0,90,(1+0j),-0.23828125
2,302,1,0,181,(1+0j),-0.193359375
3,303,1,0,272,(1+0j),-0.13671875
4,304,1,0,363,(1+0j),-0.0078125
5,305,1,0,454,(1+0j),0.03125
6,306,1,0,545,(1+0j),0.1015625
7,307,1,0,636,(1+0j),0.14453125
8,308,1,0,727,(1+0j),0.318359375
9,309,1,0,818,(1+0j),0.314453125
10,310,1,0,909,(1+0j),0.427734375
11,311,1,0,1000,(1+0j),0.462890625
12,312,1,0,1090,(1+0j),0.572265625
13,313,1,0,1181,(1+0j),0.59375
14,314,1,0,1272,(1+0j),0.728515625
15,315,1,0,1363,(1+0j),0.775390625
16,316,1,0,1454,(1+0j),0.787109375
17,317,1,0,1545,(1+0j),0.87109375
18,318,1,0,1636,(1+0j),0.91796875
19,319,1,0,1727,(1+0j),0.939453125
20,320,1,0,1818,(1+0j),0.978515625
21,321,1,0,1909,(1+0j),0.994140625
22,322,1,0,2000,(1+0j),0.990234375
23,323,1,0,2090,(1+0j),0.99609375
24,324,1,0,2181,(1+0j),0.984375
25,325,1,0,2272,(1+0j),0.953125
26,326,1,0,2363,(1+0j),0.94140625
27,327,1,0,2454,(1+0j),0.919921875
28,328,1,0,2545,(1+0j),0.869140625
29,329,1,0,2636,(1+0j),0.826171875
30,330,1,0,2727,(1+0j),0.787109375
31,331,1,0,2818,(1+0j),0.70703125
32,332,1,0,2909,(1+0j),0.66796875
33,333,1,0,3000,(1+0j),0.6015625
34,334,1,0,3090,(1+0j),0.517578125
35,335,1,0,3181,(1+0j),0.470703125
36,336,1,0,3272,(1+0j),0.34765625
37,337,1,0,3363,(1+0j),0.328125
38,338,1,0,3454,(1+0j),0.283203125
39,339,1,0,3545,(1+0j),0.283203125
40,340,1,0,3636,(1+0j),0.1484375
41,341,1,0,3727,(1+0j),0.1328125
42,342,1,0,3818,(1+0j),0.103515625
43,343,1,0,3909,(1+0j),-0.037109375
44,344,1,0,4000,(1+0j),-0.009765625
45,345,1,0,4090,(1+0j),-0.126953125
46,346,1,0,4181,(1+0j),-0.169921875
47,347,1,0,4272,(1+0j),-0.259765625
48,348,1,0,4363,(1+0j),-0.240234375
49,349,1,0,4454,(1+0j),-0.359375
50,350,1,0,4545,(1+0j),-0.390625
51,351,1,0,4636,(1+0j),-0.48046875
52,352,1,0,4727,(1+0j),-0.57421875
53,353,1,0,4818,(1+0j),-0.59765625
54,354,1,0,4909,(1+0j),-0.65625
55,355,1,0,5000,(1+0j),-0.712890625
56,356,1,0,5090,(1+0j),-0.779296875
57,357,1,0,5181,(1+0j),-0.76953125
58,358,1,0,5272,(1+0j),-0.8515625
59,359,1,0,5363,(1+0j),-0.90234375
60,360,1,0,5454,(1+0j),-0.9140625
61,361,1,0,5545,(1+0j),-0.9453125
62,362,1,0,5636,(1+0j),-0.978515625
63,363,1,0,5727,(1+0j),-0.99609375
64,364,1,0,5818,(1+0j),-0.9921875
65,365,1,0,5909,(1+0j),-0.986328125
66,366,1,0,6000,(1+0j),-0.96484375
67,367,1,0,6090,(1+0j),-0.966796875
68,368,1,0,6181,(1+0j),-0.9453125
69,369,1,0,6272,(1+0j),-0.900390625
70,370,1,0,6363,(1+0j),-0.833984375
71,371,1,0,6454,(1+0j),-0.76953125
72,372,1,0,6545,(1+0j),-0.71484375
73,373,1,0,6636,(1+0j),-0.662109375
74,374,1,0,6727,(1+0j),-0.595703125
75,375,1,0,6818,(1+0j),-0.52734375
76,376,1,0,6909,(1+0j),-0.478515625
77,377,1,0,7000,(1+0j),-0.380859375
78,378,1,0,7090,(1+0j),-0.3125
79,379,1,0,7181,(1+0j),-0.2265625
80,380,1,0,7272,(1+0j),-0.140625
81,381,1,0,7363,(1+0j),-0.03125
82,382,1,0,7454,(1+0j),-0.01171875
83,383,1,0,7545,(1+0j),0.091796875
84,384,1,0,7636,(1+0j),0.099609375
85,385,1,0,7727,(1+0j),0.193359375
86,386,1,0,7818,(1+0j),0.251953125
87,387,1,0,7909,(1+0j),0.30078125
88,388,1,0,8000,(1+0j),0.35546875
89,389,1,0,8090,(1+0j),0.373046875
90,390,1,0,8181,(1+0j),0.443359375
91,391,1,0,8272,(1+0j),0.47265625
92,392,1,0,8363,(1+0j),0.55078125
93,393,1,0,8454,(1+0j),0.5859375
94,394,1,0,8545,(1+0j),0.6484375
95,395,1,0,8636,(1+0j),0.681640625
96,396,1,0,8727,(1+0j),0.724609375
97,397,1,0,8818,(1+0j),0.75390625
98,398,1,0,8909,(1+0j),0.80859375
99,399,1,0,9000,(1+0j),0.853515625
