,index,U,M,t,UM,count
0,0,0,0,0,0j,1.0
1,1,0,0,90,0j,-0.380859375
2,2,0,0,181,0j,-0.548828125
3,3,0,0,272,0j,-0.6953125
4,4,0,0,363,0j,-0.779296875
5,5,0,0,454,0j,-0.904296875
6,6,0,0,545,0j,-0.953125
7,7,0,0,636,0j,-0.97265625
8,8,0,0,727,0j,-0.99609375
9,9,0,0,818,0j,-0.9921875
10,10,0,0,909,0j,-0.955078125
11,11,0,0,1000,0j,-0.91015625
12,12,0,0,1090,0j,-0.8203125
13,13,0,0,1181,0j,-0.685546875
14,14,0,0,1272,0j,-0.5234375
15,15,0,0,1363,0j,-0.4375
16,16,0,0,1454,0j,-0.201171875
17,17,0,0,1545,0j,-0.09765625
18,18,0,0,1636,0j,0.09765625
19,19,0,0,1727,0j,0.228515625
20,20,0,0,1818,0j,0.396484375
21,21,0,0,1909,0j,0.599609375
22,22,0,0,2000,0j,0.65234375
23,23,0,0,2090,0j,0.765625
24,24,0,0,2181,0j,0.86328125
25,25,0,0,2272,0j,0.9375
26,26,0,0,2363,0j,0.98828125
27,27,0,0,2454,0j,1.0
28,28,0,0,2545,0j,0.9765625
29,29,0,0,2636,0j,0.947265625
30,30,0,0,2727,0j,0.884765625
31,31,0,0,2818,0j,0.79296875
32,32,0,0,2909,0j,0.693359375
33,33,0,0,3000,0j,0.58203125
34,34,0,0,3090,0j,0.345703125
35,35,0,0,3181,0j,0.2578125
36,36,0,0,3272,0j,0.154296875
37,37,0,0,3363,0j,-0.068359375
38,38,0,0,3454,0j,-0.24609375
39,39,0,0,3545,0j,-0.3671875
40,40,0,0,3636,0j,-0.552734375
41,41,0,0,3727,0j,-0.6796875
42,42,0,0,3818,0j,-0.79296875
43,43,0,0,3909,0j,-0.880859375
44,44,0,0,4000,0j,-0.962890625
45,45,0,0,4090,0j,-0.98828125
46,46,0,0,4181,0j,-1.0
47,47,0,0,4272,0j,-0.990234375
48,48,0,0,4363,0j,-0.931640625
49,49,0,0,4454,0j,-0.861328125
50,50,0,0,4545,0j,-0.80078125
51,51,0,0,4636,0j,-0.681640625
52,52,0,0,4727,0j,-0.552734375
53,53,0,0,4818,0j,-0.40234375
54,54,0,0,4909,0j,-0.2734375
55,55,0,0,5000,0j,-0.064453125
56,56,0,0,5090,0j,0.078125
57,57,0,0,5181,0j,0.25390625
58,58,0,0,5272,0j,0.392578125
59,59,0,0,5363,0j,0.615234375
60,60,0,0,5454,0j,0.673828125
61,61,0,0,5545,0j,0.8203125
62,62,0,0,5636,0j,0.87890625
63,63,0,0,5727,0j,0.943359375
64,64,0,0,5818,0j,0.9765625
65,65,0,0,5909,0j,1.0
66,66,0,0,6000,0j,0.990234375
67,67,0,0,6090,0j,0.947265625
68,68,0,0,6181,0j,0.876953125
69,69,0,0,6272,0j,0.775390625
70,70,0,0,6363,0j,0.689453125
71,71,0,0,6454,0j,0.6015625
72,72,0,0,6545,0j,0.35546875
73,73,0,0,6636,0j,0.240234375
74,74,0,0,6727,0j,0.09375
75,75,0,0,6818,0j,-0.0390625
76,76,0,0,6909,0j,-0.185546875
77,77,0,0,7000,0j,-0.412109375
78,78,0,0,7090,0j,-0.572265625
79,79,0,0,7181,0j,-0.701171875
80,80,0,0,7272,0j,-0.806640625
81,81,0,0,7363,0j,-0.857421875
82,82,0,0,7454,0j,-0.95703125
83,83,0,0,7545,0j,-0.9921875
84,84,0,0,7636,0j,-1.0
85,85,0,0,7727,0j,-0.984375
86,86,0,0,7818,0j,-0.947265625
87,87,0,0,7909,0j,-0.87890625
88,88,0,0,8000,0j,-0.798828125
89,89,0,0,8090,0j,-0.689453125
90,90,0,0,8181,0j,-0.57421875
91,91,0,0,8272,0j,-0.42578125
92,92,0,0,8363,0j,-0.271484375
93,93,0,0,8454,0j,-0.09375
94,94,0,0,8545,0j,0.013671875
95,95,0,0,8636,0j,0.25
96,96,0,0,8727,0j,0.35546875
97,97,0,0,8818,0j,0.505859375
98,98,0,0,8909,0j,0.6953125
99,99,0,0,9000,0j,0.77734375
